"Citation","PubData"
"Barker et al 1995","Barker, I., K., A. Surgeoner Gordon, et al. (1992).ìDistribution of the Lyme disease vector, Ixodes dammini (Acari: Ixodidae) and isolation of Borrelia burgdorferi in Ontario, Canada.ù Journal of Medical Entomology 29(6): 1011-1022."
"Barlough et al. 1987","Barlough, J. E., E. S. Berry, E. A. Goodwin, R. F. Brown, R. L. DeLong, and A. W. Smith. 1987. Antibodies to marine calciviruses in the Steller sea lion (Eumetopias jubatus Schreber). Journal of Wildlife Diseases 23:34-44."
"Barlough et al. 1998","Barlough, J. E., D. O. Matson, D. E. Skilling, T. Berke, E. S. Berry, R. F. Brown, and A. W. Smith. 1998. Isolation of reptilian calicivirus crotalus type 1 from feral pinnipeds. Journal of Wildlife Diseases 34:451-456."
"Barman et al 1999","Barman, N. D., Sarma, D. K., Das, S. and G. G. Patgiri (1999) Foot and mouth disease in wild and semi-domesticated animals of the north-eastern states of India. Indian Journal of Animal Sciences, 69 (10): 781-783."
"Barnard 1993","Barnard, B. J. H. (1993). ""Circulation of African horsesickness virus in zebra (Equus burchelli) in the Kruger National Park, South Africa, as measured by the prevalence of type specific antibodies."" Onderstepoort Journal of Veterinary Research 60(2): 111-117."
"Barnard et al 1989","Barnard, B. J. H., Bengis, RG., Grissel, MD., De Vos, V (1989) Excretion of alcelaphine herpesvirus-1 by captive and free-living wildebeest (Connochaetes taurinus).  Onderstepoort Journal of Veterinary Research, 56 (2) 131-134"
"Barnett et al. 2004","Barnett, O. E., M. Worobey, E. C. Holmes, and A. Cooper. 2004. DETECTION OF TT VIRUS AMONG CHIMPANZEES IN THE WILD USING A NONINVASIVE TECHNIQUE. Journal of Wildlife Diseases 40:230-237."
"Baron et al. 1996","Baron, R. W., D. D. Colwell, and K. Milton. 1996. Antibody immunoglobulin G (IgG) response to Alouattamyia baeri (Diptera: Cuterebridae) parasitism of howler monkeys, Alouatta palliata, in Panama. Journal of Medical Entomology 33:946-951."
"Barros et al. 1990","Barros, D. M., M. L. Lorini, and V. G. Persson. 1990. Dioctophymosis in the little grison (Galictis cuja). Journal of Wildlife Diseases 26:538-539."
"Barrows 1996, cited in Huffman et al. 2009","Barrows, M. 1996. A survey of the intestinal parasites of the primate in Budongo Forest, Uganda. Report to the Dept. of Veterinary Medicine, University of Glasgow."
"Bartova et al. 2007","Bartova E., Sedlak, K., Pavlik, I., Literak, I. (2007) Prevalence of Neospora caninum and Toxoplasma gondii Antibodies in Wild RuminantsFrom the Countryside or Captivity in the Czech Republic. The Journal of Parasitology 93: 1216-1218."
"Bartsch and Ward 1976","Bartsch, R. C., and Ward, B. C. (1976). Visceral lesions in raccoons naturally infected with Heterobilharzia americana. Veterinary Pathology Online, 13(4), 241-249."
"Bastida et al. 1999","Bastida, R., J. Loureiro, V. Quse, A. Bernardelli, D. Rodriguez, and E. Costa. 1999. Tuberculosis in a wild subantarctic fur seal from Argentina. Journal of Wildlife Diseases 35:796-798."
"Bastos et al 2000","Bastos, A. D. S., Boshoff, C. I., Keet, D. F., Bengis, R. G., and G. R. Thomson (2000) Natrural transmission of foot-and-mouth disease between African buffalo (syncerus caffer) and impala (Aepyceros melampus) in the Kruger National Park, South Africa. Epidemiology and Infection, 124: 591-598."
"Baszler et al 2000","Baszler, T. V., Dubey, J. P., Lohr, C. V. and W. J. Foreyt (2000) Toxoplasmic enecphalitis in a free-ranging Rocky Mountain Bighorn Sheep from Washington. Journal of Wildlife Diseases, 36(4): 752-754."
"Bates 2003","Bates, P. 2003. Sarcoptic mange (sarcoptes scabiei var vulpes) in a red fox (vulpes vulpes) population in north-west surrey. Veterinary Record 152: 112-114"
"Batty & Chapman 1970 (in Chapman & Chapman 1987)","Batty, A. F. and D. I. Chapman (1970) Gastrointestinal parasites of wild fallow deer (Dama dama). Journal of Helminthology, 44: 57-61."
"Bauder et al. 2000","Bauder, B., A. Kubber-Heiss, T. Steineck, E. S. Kuttin, and L. Kaufman. 2000. Granulomatous skin lesions due to histoplasmosis in a badger (Meles meles) in Austria. Medical Mycology 38:249-253."
"Baylet et al. 1971","Baylet, R., J. Thivolet, M. Sepetjian, J. Bert. 1971. Etude Sero-epidemiologique sur la Treponematose des singes au Senegal. Bulletin de la Societe de Pathologie Exotique 64(6):836-841."
"Beard et al. 1999","Beard, P. M., D. Henderson, M. J. Daniels, A. Pirie, D. Buxton, A. Greig, M. R. Hutchings et al. 1999. Evidence of paratuberculosis in fox (Vulpes vulpes) and stoat (Mustela erminea). Veterinary Record 145:612-613."
"Beaucournu and Horak 1994","Beaucournu, J. C. and I. G. Horak (1994). ""Phacopsylla gen. nov. for Echidnophaga inexpectata Smit, 1950 (Siphonaptera: Pulicidae)."" Journal of African Zoology 108(2): 133-141."
"Bechara et al 2000","Bechara, G. H., M. P. J. Szabo, et al. (2000). Ticks associated with wild animals in the Nhecolandia Pantanal, Brazil. Annals of the New York Academy of Sciences. M. Society for Tropical Veterinary: 289-297."
"Beck et al. 2008","Beck, A., R. Beck, J. Kusak, A. Gudan, F. Martinkovic, B. Artukovic, M. Hohsteter, D. Huber, A. Marinculic and Z. Grabarevic. 2008. A case of visceral leishmaniosis in a gray wolf (canis lupus) from croatia. Journal of Wildlife Diseases 44: 451-456"
"Beck et al. 2009","Beck, R., A. Beck, J. Kusak, Z. Mihaljevic, S. Lucinger, T. Zivicnjak, D. Huber, A. Gudan and A. Marinculic. 2009. Trichinellosis in wolves from croatia. Veterinary Parasitology 159: 308-311"
"Beckmen et al. 1997","Beckmen, K. B., L. J. Lowenstine, J. Newman, J. Hill, K. Hanni, and J. Gerber. 1997. Clinical and pathological characterization of northern elephant seal skin disease. Journal of Wildlife Diseases 33:438-449."
"Bedford 1927","Bedford, G. A. H. 1927. Description of a new genus and species of Anoplura (Lemurphthirus galagus) from a lemur. Parasitology 19:263-264."
"Bednarska et al. 2007","Bednarska, M., Bajer, A., Sinski, E., Girouard, A. S., Tamang, L., Graczyk, T. K. (2007) Fluorescent in situ hybridization as a tool to retrospectivelyidentify Cryptosporidium parvum and Giardia lambliain samples from terrestrial mammalian wildlife. Parasitol Res 100: 455-460."
"Beechler et al. 2009","Beechler, B. R., Jolles, A. E., Ezenwa, V. O. (2009) EVALUATION OF HEMATOLOGIC VALUES IN FREE-RANGINGAFRICAN BUFFALO (SYNCERUS CAFFER). Journal of Wildlife diseases 45: 57-66."
"Beldomenico et al. 2002","Beldomenico, P. M., D. Hunzicker, J. L. Taverna and P. K. Rejf. 2002. Capillariidae eggs found in the urine of a free ranging maned wolf from argentina. Memorias Do Instituto Oswaldo Cruz 97: 509-510"
"Beldomenico et al. 2003","Beldomenico, P. M., Uhart, M., Bono, M. F., Marull, C., Baldi, R., Peralta, J. L. (2003) Internal parasites of free-rangingguanacos from Patagonia. Veterinary Parasitology 118: 71-77."
"Beldomenico et al. 2005a","Beldomenico, P. M., J. M. Kinsella, M. M. Uhart, G. L. Gutierrez, J. Pereira, H. D. Ferreyra and C. A. Marull. 2005. Helminths of geoffroy's cat, oncifelis geoffroyi (carnivora, felidae) from the monte desert, central argentina. Acta Parasitologica 50: 263-266"
"Beldomenico et al. 2005b","Beldomenico, P. M., B. B. Chomel, J. E. Foley, B. N. Sacks, C. J. Baldi, R. W. Kasten and I. A. Gardner. 2005. Environmental factors associated with bartonella vinsonii subsp berkhoffii seropositivity in free-ranging coyotes from northern california. Vector-Borne and Zoonotic Diseases 5: 110-119"
"Belloy et al. 2007","Belloy, L., Giacometti, M., Boujon, P., Waldvogel, A. (2007) DETECTION OF DICHELOBACTER NODOSUS IN WILD UNGULATES(CAPRA IBEX IBEX AND OVIS ARIES MUSIMON) AND DOMESTICSHEEP SUFFERING FROM FOOT ROT USING A TWO-STEPPOLYMERASE CHAIN REACTION. Journal of Wildlife diseases 43: 82-88."
"Benavides et al. 2011","Benavides, J.A. Huchard, E. Pettorelli, N. King, A.J. Brown, M.E. Archer, C.E. Appleton, C.C. Raymond, M. Cowlishaw, G. 2011. From Parasite Encounter to Infection: Multiple-Scale Drivers of Parasite Richness in a Wild Social Primate Population. American Journal of Physical Anthropology."
"Bender and Hall 1996","Bender Louis, C. and P. B. Hall (1996). ""Leptospira interrogans exposure in free-ranging Elk in Washington."" Journal of Wildlife Diseases 32(1): 121-124."
"Bender and Hall 2004","Bender, L. C., Hall, P. B. (2004) Winter Fawn Survival in Black-Tailed Deer Populations by Hair Loss Syndrome. Journal of Wildlife diseases 40: 444-451."
"Bender et al 1999","Bender, L., C., P. B. Hall, et al. (1999). ""Bacillary hemoglobinuria in a free-ranging elk calf."" Journal of Zoo and Wildlife Medicine 30(2): 293-296."
"Bengis et al 1996","Bengis, R. G., N. P. J. Kriek, et al. (1996). ""An outbreak of bovine tuberculosis in a free-living African buffalo (Syncerus caffer Sparrman) population in the Kruger National Park: A preliminary report."" Onderstepoort Journal of Veterinary Research 63(1): 15-18."
"Bengis et al 1998","Bengis Roy, G., K. Odening, et al. (1998). ""Three new Sarcocystis species, Sarcocystis giraffae, S. klaseriensis, and S. camelopardalis (Protozoa: Sarcocystidae) from the giraffe (Giraffa camelopardalis) in South Africa."" Journal of Parasitology 84(3): 562-565."
"Benoit 1961","Benoit, P. L. G. 1961. Anoploures du Centre Africain. Revue Zoologique et Botanique Africaine 63:231-241."
"Bentler et al. 2007","Bentler, K. T., J. S. Hall, J. J. Root, K. Klenk, B. Schmit, B. F. Blackwell, P. C. Ramey and L. Clark. 2007. Serologic evidence of west nile virus exposure in north american mesopredators. American Journal of Tropical Medicine and Hygiene 76: 173-179"
"Bergeron et al. 1997","Bergeron, E., L. N. Measures, and J. Huot. 1997. Lungworm (Otostrongylus circumlitus) infections in ringed seals (Phoca hispida) from eastern Arctic Canada. Canadian Journal of Fisheries and Aquatic Sciences 54:2443-2448."
"Bergman 1999","Bergman, A. 1999. Health condition of the Baltic grey seal (Halichoerus grypus) during two decades - Gynaecological health improvement but increased prevalence of colonic ulcers. Apmis 107:270-282."
"Bergottini et al. 2005","Bergottini, R., Mattiello, S., Crippa, L., Scanziani, E. (2005) Cilia-associated Respiratory (CAR) Bacillus Infection in Adult RedDeer, Chamois, and Roe Deer. Journal of Wildlife diseases 41: 459-462."
"Bergstrom et al 1985","Bergstrom, R. C., Kingston, N. and J. R. Talbot (1985) Toxoscaris leonina (Nematoda: Ascarididae) from the Pronghorn antelope, Antilocapra americana, in Wyoming. Proceedings of the Helminthological Society of Washington, 52: 142-143."
"Beringer et al 2000","Beringer, J., P. Hansen Lonnie, et al. (2000). ""An epizootic of hemorrhagic disease in white-tailed deer in Missouri."" Journal of Wildlife Diseases 36(3): 588-591."
"Berkovitz et al. 2009","Berkovitz, A., T. Waner, R. King and S. Perl. 2009. Concurrent parasitation with sarcoptes and demodex in a golden jackal. Israel Journal of Veterinary Medicine 64: 10-11"
"Bermejo et al. 2006","Bermejo, M., J. D. Rodriguez-Teijeiro, G. Illera, A. Barroso, C. Vila, P. D. Walsh. 2006. Ebola outbreak killed 5000 gorillas. Science 213:1564."
"Bermond et al 2002","Bermond, D., Boulouis, H., Heller, R., Laere, G. V., Monteil, H., Chomel, B. B., Sander, A., Dehio, C., Piemont, Y. (2002) Bartonella bovis Bermond et al. sp. nov. andBartonella capreoli sp. nov., isolated fromEuropean ruminants. International Journal of Systematic and Evolutionary Microbiology 52: 383-390."
"Bernardelli et al. 1996","Bernardelli, A., R. Bastida, J. Loureiro, H. Michelis, M. I. Romano, A. Cataldi, and E. Costa. 1996. Tuberculosis in sea lions and fur seals from the south-western Atlantic coast. Revue Scientifique et Technique de l Office International des Epizooties 15:985-1005."
"Beron-Vera et al. 2004","Beron-Vera, B., E. A. Crespo, J. A. Raga and S. N. Pedraza. 2004. Uncinaria hamiltoni (nematoda : Ancylostomatidae) in south american sea lions, otaria flavescens, from northern patagonia, argentina. Journal of Parasitology 90: 860-863"
"Berrilli et al 2002","Berrili, F., D'Amelio, S. and L. Rossi (2002) Ribosomal and mitochiondrial DNA sequence variation in Sarcoptes mites from different hosts and geographical regions. Parasitology Research, 88: 772-777."
"Berry 1993","Berry, H. H. (1993). ""Surveillance and control of anthrax and rabies in wild herbivores and carnivores in Namibia."" Revue Scientifique et Technique Office International des Epizooties. Artois, M.: Author. Scientific and Technical Review International Office of Epizootics; Health and management of free-ranging mammals, Part 2. Revue Scientifique et Technique Office International des Epizooties; Health and management of free-ranging mammals, Part 2 12(1): 137-146."
"Besser et al 2008","Besser, T. E., Cassirer, E. F., Potter, VanderSchalie, J., Fischer, A., Knowles, D. P., Herndon, D. R., Ruangirwa, F. R., weiser, G. C., Srikumaran, S. (2008) Association of Mycoplasma ovipneumonia infection with population-limiting respiratory disease in free-ranging rocky mountain bighorn sheep (Ovis canadensis canadensis). Journal of Clinical Microbiology 46: 423-430."
"Bester 1989","Bester, M. N. 1989. Endoparasites of the sub-antarctic fur-seal Arctocephalus tropicalis from Gough Island. South African Journal of Zoology 24:363-365."
"Beyer and Grossman 1997","Beyer, A. B., and M. Grossman. 1997. Tick paralysis in a red wolf. Journal of Wildlife Diseases 33:900-902."
"Bezjian et al. 2008","Bezjian, M., Gillespie, T.R., Chapman, C.A., and E.C. Greiner. 2008. Coprologic evidence of gastrointestinal helminths of forest baboons, Papio anubis, in Kibale National Park, Uganda. Journal of Wildlife Diseases 44(4):878-887"
"Bhatt et al. 1966","Bhatt, P. N., C. D. Brandt, R. A. Weiss, J. P. Fox, and M. F. Shaffer. 1966. Viral Infections of Monkeys in Their Natural Habitat in Southern India II Serological Evidence of Viral Infection. American Journal of Tropical Medicine and Hygiene 15:561- 566."
"Bibollet-Ruche et al. 1996","Bibollet-Ruche, F., A. GalatLuong, G. Cuny, P. SarniManchado, G. Galat, J. P. Durand, X. Pourrut et al. 1996. Simian immunodeficiency virus infection in a patas monkey (Erythrocebus patas): Evidence for cross-species transmission from African green monkeys (Cercopithecus aethiops sabaeus) in the wild. Journal of General Virology 77:773-781."
"Biek et al. 2002","Biek, R., R. L. Zarnke, C. Gillin, M. Wild, J. R. Squires and M. Poss. 2002. Serologic survey for viral and bacterial infections in western populations of canada lynx (lynx canadensis). Journal of Wildlife Diseases 38: 840-845"
"Biek et al. 2003","Biek, R., A. G. Rodrigo, D. Holley, A. Drummond, C. R. Anderson, H. A. Ross and M. Poss. 2003. Epidemiology, genetic diversity, and evolution of endemic feline immunodeficiency virus in a population of wild cougars. Journal of Virology 77: 9578-9589"
"Biek et al. 2006","Biek, R., T. K. Ruth, K. M. Murphy, C. R. Anderson, M. Johnson, R. DeSimone, R. Gray, M. G. Hornocker, C. M. Gillin and M. Poss. 2006. Factors associated with pathogen seroprevalence and infection in rocky mountain cougars. Journal of Wildlife Diseases 42: 606-615"
"Bildfell et al 2007","Bildfell, R. J., whipps, C. M., Gillin, C. M., Kent, M. L. (2007) DNA-based identification of a hepatic trematode in an elk calf. Journal of Wildlife diseases 43: 762-796."
"Bingham et al. 1994","Bingham, J., F. W. G. Hill, and R. Matema. 1994. Rabies incubation in an african civet (Civettictis civetta). Veterinary Record 134:528."
"Binninger et al. 1980","Binninger, C. E., Beecham, J. J., THOMAS, L. A., and WINWARD, L. D. (1980). A serologic survey for selected infectious diseases of black bears in Idaho. Journal of Wildlife Diseases, 16(3), 423-430."
"Birkenheuer et al. 2006","Birkenheuer, A. J., J. Whittington, J. Neel, E. Large, A. Barger, M. G. Levy and E. B. Breitschwerdt. 2006. Molecular characterization of a babesia species identified in a north american raccoon. Journal of Wildlife Diseases 42: 375-380"
"Birkenheuer et al. 2007","Birkenheuer, A. J., C. A. Harms, J. Neel, H. S. Marr, M. D. Tucker, A. E. Acton, A. D. Tuttle and M. K. Stoskopf. 2007. The identification of a genetically unique piroplasma in north american river otters (lontra canadensis). Parasitology 134: 631-635"
"Birkenheuer et al. 2008a","Birkenheuer, A. J., H. S. Marr, C. Warren, A. E. Acton, E. M. Mucker, J. G. Humphreys and M. D. Tucker. 2008. Cytauxzoon felis infections are present in bobcats (lynx rufus) in a region where cytauxzoonosis is not recognized in domestic cats. Veterinary Parasitology 153: 126-130"
"Birkenheuer et al. 2008b","Birkenheuer, A. J., H. S. Marr, N. Hladio and A. E. Acton. 2008. Molecular evidence of prevalent dual piroplasma infections in north american raccoons (procyon lotor). Parasitology 135: 33-37"
