Pathogen_Original,PathogenName_Harmonised,PathogenName_Harm2,PathogenType,HumanInfective_Any,HumanInfective_EID2,HumanInfective_External,DiseaseAgent,IsZoonotic,InGIDEON,Disease_GIDEON,Route_GIDEON,AnimalReservoir_GIDEON,VectorBorne,Vector_GIDEON,InWertheim,Disease_Wertheim,AnimalReservoir_Taylor,UN_subregion,Countries_EID2Wertheim
helicobacter sp.,helicobacter sp.,helicobacter sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
kingella kingae,kingella kingae,kingella kingae,bacteria/rickettsia,1,0,1,1,0,1,kingella infection,endogenous,0,0,NA,0,NA,0,,
klebsiella pneumoniae,klebsiella pneumoniae,klebsiella pneumoniae,bacteria/rickettsia,1,1,1,1,1,1,"pneumonia, rhinoscleroma ","environment, respiratory",0,0,NA,0,NA,1,"Northern Africa, Eastern Africa, Middle Africa, Southern Africa, Western Africa, Caribbean, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","KE,BG,IR,IN,NL,DE,NZ,AU,GB,GR,MX,CO,JP,PL,MY,PT,TH,ES,BR,IQ,ZA,US,IE,CN,FR,UG,SE,AT,DK,TW,GA,SG,TN,TR,VN,CA,IT,BD,SA,TT,HK,SN,NG,PR,HR,MV"
klebsiella sp.,klebsiella sp.,klebsiella sp.,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
kocuria varians,kocuria varians,kocuria varians,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
kurthia sp.,kurthia sp.,kurthia sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
lactobacillus sp.,lactobacillus sp.,lactobacillus sp.,bacteria/rickettsia,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
lawsonia intracellularis,lawsonia intracellularis,lawsonia intracellularis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
leptospira borgpetersenii,leptospira borgpetersenii,leptospira borgpetersenii,bacteria/rickettsia,1,1,1,1,1,1,leptospirosis,"water, environmental",1,0,NA,1,leptospirosis,1,"Northern Africa, Eastern Africa, Western Africa, Central America, South America, Northern America, South-eastern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand, Melanesia, Polynesia, Eastern Asia","US,CA,MX,CO,VE,GY,SR,GF,EC,BR,PE,BO,CL,AR,PY,UY,PT,FR,ES,GB,IT,CH,AT,BE,NL,SL,SK,RO,PL,CZ,HU,HR,BA,RS,AL,BG,MK,GR,UA,MD,BY,EE,LT,LV,NO,SE,FI,MM,TH,LA,KH,VN,MY,PH,BN,AU,PG,ID,NC,SB,CK,FJ,DZ,KE,SO,JP,CN"
leptospira bratislava,leptospira bratislava,leptospira bratislava,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
leptospira canicola,leptospira canicola,leptospira canicola,bacteria/rickettsia,1,0,1,1,1,1,leptospirosis,"water, environment",1,0,NA,1,leptospirosis,0,NA,NA
leptospira grippotyphosa,leptospira grippotyphosa,leptospira grippotyphosa,bacteria/rickettsia,1,0,1,1,1,1,leptospirosis,"water, environment",1,0,NA,1,leptospirosis,0,NA,NA
leptospira icterohaemorrhagiae,leptospira icterohaemorrhagiae,leptospira icterohaemorrhagiae,bacteria/rickettsia,1,0,1,1,1,1,leptospirosis,"water, environment",1,0,NA,1,leptospirosis,0,NA,NA
leptospira interrogans,leptospira interrogans,leptospira interrogans,bacteria/rickettsia,1,1,1,1,1,1,leptospirosis,"water, environmental",1,0,NA,1,leptospirosis,1,NA,NA
leptospira sp.,leptospira sp.,leptospira sp.,bacteria/rickettsia,1,1,1,1,1,1,leptospirosis,"water, environment",1,0,NA,1,leptospirosis,1,NA,NA
listeria ivanovii,listeria ivanovii,listeria ivanovii,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Eastern Asia, Western Europe","CN,FR"
listeria monocytogenes,listeria monocytogenes,listeria monocytogenes,bacteria/rickettsia,1,1,1,1,1,1,listeriosis,"food, water, fluids",1,0,NA,0,NA,1,NA,NA
listeria sp.,listeria sp.,listeria sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
lysinibacillus sphaericus,lysinibacillus sphaericus,lysinibacillus sphaericus,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0,"Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe","PK,IN,CN,GB,DE,MX,MY,US,ES,CO,FI,JP,AR,SG,RU,BR"
mannheimia haemolytica,mannheimia haemolytica,mannheimia haemolytica,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
mannheimia sp.,mannheimia sp.,mannheimia sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
micrococcus luteus,micrococcus luteus,micrococcus luteus,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,"Northern Africa, Caribbean, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","CN,AU,GB,JP,DE,ES,FI,NL,PT,SJ,BR,IN,BS,AT,HU,SA,MA,AQ,FR,MY,KR,US"
micrococcus sp.,micrococcus sp.,micrococcus sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
moraxella atlantae,moraxella atlantae,moraxella atlantae,bacteria/rickettsia,1,0,1,NA,NA,NA,,,NA,0,,NA,,0,,
moraxella bovis,moraxella bovis,moraxella bovis,bacteria/rickettsia,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"South America, Northern America","US,UY"
moraxella catarrhalis,moraxella catarrhalis,moraxella catarrhalis,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,,
moraxella cuniculi,moraxella cuniculi,moraxella cuniculi,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,,
moraxella lacunata,moraxella lacunata,moraxella lacunata,bacteria/rickettsia,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,,
moraxella nonliquefaciens,moraxella nonliquefaciens,moraxella nonliquefaciens,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,,
moraxella osloensis,moraxella osloensis,moraxella osloensis,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,"Eastern Asia, Northern Europe, Western Europe","DE,AT,GB,CN"
moraxella ovis,moraxella ovis,moraxella ovis,bacteria/rickettsia,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
moraxella phenylpyruvicus,moraxella phenylpyruvicus,moraxella phenylpyruvicus,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
moraxella sp.,moraxella sp.,moraxella sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
morganella morganii,morganella morganii,morganella morganii,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
mycobacterium avium,mycobacterium avium,mycobacterium avium,bacteria/rickettsia,1,1,1,1,1,1,miscellaneous nontuberculous,NA,0,0,NA,0,NA,1,NA,NA
mycobacterium bovis,mycobacterium bovis,mycobacterium bovis,bacteria/rickettsia,1,1,1,1,1,1,tuberculosis,"respiratory, food",1,0,NA,0,NA,1,NA,NA
mycobacterium chelonae,mycobacterium chelonae,mycobacterium chelonae,bacteria/rickettsia,1,1,1,1,1,1,miscellaneous nontuberculous,"respiratory, water, food, contact",1,0,NA,0,NA,1,NA,NA
mycobacterium flavescens,mycobacterium flavescens,mycobacterium flavescens,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
mycobacterium fortuitum,mycobacterium fortuitum,mycobacterium fortuitum,bacteria/rickettsia,1,1,1,1,1,1,miscellaneous nontuberculous,"respiratory, water, food, contact",1,0,NA,0,NA,1,NA,NA
mycobacterium goodii,mycobacterium goodii,mycobacterium goodii,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
mycobacterium haemophilum,mycobacterium haemophilum,mycobacterium haemophilum,bacteria/rickettsia,1,1,1,1,1,1,miscellaneous nontuberculous,NA,0,0,NA,0,NA,1,Northern America,US
mycobacterium intracellulare,mycobacterium intracellulare,mycobacterium intracellulare,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
mycobacterium kansaii,mycobacterium kansaii,mycobacterium kansaii,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,,
mycobacterium scrofulaceum,mycobacterium scrofulaceum,mycobacterium scrofulaceum,bacteria/rickettsia,1,1,1,1,1,1,mycobacteriosis,"food, water, environment",0,0,NA,0,NA,1,NA,NA
mycobacterium smegmatis,mycobacterium smegmatis,mycobacterium smegmatis,bacteria/rickettsia,1,1,1,1,1,1,miscellaneous nontuberculous,"respiratory, water, food, contact",1,0,NA,0,NA,1,NA,NA
mycobacterium sp.,mycobacterium sp.,mycobacterium sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
mycobacterium terrae,mycobacterium terrae,mycobacterium terrae,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
mycobacterium tuberculosis,mycobacterium tuberculosis,mycobacterium tuberculosis,bacteria/rickettsia,1,1,1,1,1,1,tuberculosis,"respiratory, food",0,0,NA,0,NA,1,NA,NA
mycoplasma agalactiae,mycoplasma agalactiae,mycoplasma agalactiae,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
mycoplasma arginini,mycoplasma arginini,mycoplasma arginini,bacteria/rickettsia,1,1,1,1,0,1,laryngotracheobronchitis,respiratory,0,0,NA,0,NA,0,,
mycoplasma bovigenitalium,mycoplasma bovigenitalium,mycoplasma bovigenitalium,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
mycoplasma bovis,mycoplasma bovis,mycoplasma bovis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
mycoplasma conjunctivae,mycoplasma conjunctivae,mycoplasma conjunctivae,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
mycoplasma fermentans,mycoplasma fermentans,mycoplasma fermentans,bacteria/rickettsia,1,0,1,1,1,1,mycoplasma infection,"direct, sexual, respiratory",0,0,NA,0,NA,1,,
mycoplasma haemofelis,mycoplasma haemofelis,mycoplasma haemofelis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
mycoplasma haemominutum,mycoplasma haemominutum,mycoplasma haemominutum,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
mycoplasma mycoides,mycoplasma mycoides,mycoplasma mycoides,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
mycoplasma ovipneumoniae,mycoplasma ovipneumoniae,mycoplasma ovipneumoniae,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
mycoplasma phocidae,mycoplasma phocidae,mycoplasma phocidae,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
mycoplasma pneumoniae,mycoplasma pneumoniae,mycoplasma pneumoniae,bacteria/rickettsia,1,0,1,NA,0,NA,mycoplasma pneumoinae infection,respiratory,0,0,NA,0,NA,0,,
mycoplasma sp.,mycoplasma sp.,mycoplasma sp.,bacteria/rickettsia,1,1,1,1,1,1,laryngotracheobronchitis,respiratory,0,0,NA,0,NA,1,NA,NA
mycoplasma turicensis,mycoplasma turicensis,mycoplasma turicensis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
neisseria denitrificans,neisseria denitrificans,neisseria denitrificans,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
neisseria elongata,neisseria elongata,neisseria elongata,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,,
neisseria flavescens,neisseria elongata,neisseria elongata,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,,
neisseria mucosa,neisseria mucosa,neisseria mucosa,bacteria/rickettsia,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,,
neisseria pharyngis,neisseria pharyngis,neisseria pharyngis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
neisseria sp.,neisseria sp.,neisseria sp.,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,,
neorickettsia risticii,neorickettsia risticii,neorickettsia risticii,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
nocardia asteroides,nocardia asteroides,nocardia asteroides,bacteria/rickettsia,1,1,1,1,1,1,"mycetoma, nocardiosis",environment,0,0,NA,0,NA,1,"Eastern Asia, Southern Europe","CN,ES"
nocardia sp.,nocardia sp.,nocardia sp.,bacteria/rickettsia,1,1,1,1,1,1,nocardiosis,environment,0,0,NA,0,NA,1,NA,NA
ochrobactrum anthropi,ochrobactrum anthropi,ochrobactrum anthropi,bacteria/rickettsia,1,1,1,1,0,1,orbital and eye infection,"endogenous, trauma",0,0,NA,0,NA,0,NA,NA
paenibacillus alvei,paenibacillus alvei,paenibacillus alvei,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
pantoea agglomerans,pantoea agglomerans,pantoea agglomerans,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
pantoea sp.,pantoea sp.,pantoea sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pasteurella canis,pasteurella canis,pasteurella canis,bacteria/rickettsia,1,1,1,1,1,1,animal-bite associated bacterial infection,direct (bite),1,0,NA,0,NA,1,"Eastern Europe, Northern Europe","PL,NO"
pasteurella multocida,pasteurella multocida,pasteurella multocida,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
pasteurella sp.,pasteurella sp.,pasteurella sp.,bacteria/rickettsia,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
photobacterium damselae,photobacterium damselae,photobacterium damselae,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Central America, Northern America, Eastern Asia, South-eastern Asia, Southern Europe","MX,MY,GR,ES,CN,JP,TW,US,IT"
plesiomonas shigelloides,plesiomonas shigelloides,plesiomonas shigelloides,bacteria/rickettsia,1,1,1,1,1,1,plesiomonas infection,,1,0,NA,0,NA,0,NA,NA
plesiomonas sp.,plesiomonas sp.,plesiomonas sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
porphyomonas sp.,porphyromonas sp.,porphyromonas sp.,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,,
prevotella sp.,prevotella sp.,prevotella sp.,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,,
propionibacterium avidum,propionibacterium avidum,propionibacterium avidum,bacteria/rickettsia,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
proteus mirabilis,proteus mirabilis,proteus mirabilis,bacteria/rickettsia,1,1,1,1,1,1,urinary tract infection,endogenous,0,0,NA,0,NA,1,"Northern Africa, Western Africa, Northern America, Eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe","HU,PK,JP,NG,GB,CA,IT,PL,TN,CN,HK,AT,IN,FR,US,TW"
proteus sp.,proteus sp.,proteus sp.,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
proteus vulgaris,proteus vulgaris,proteus vulgaris,bacteria/rickettsia,1,1,1,1,1,1,urinary tract infection,endogenous,0,0,NA,0,NA,1,"Eastern Asia, Southern Asia, Southern Europe, Western Europe","IN,DE,IT,CN"
providencia sp.,providencia sp.,providencia sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
providencia stuartii,providencia stuartii,providencia stuartii,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Eastern Asia, Eastern Europe, Southern Europe","HU,IT,CN"
pseudomonas aeruginosa,pseudomonas aeruginosa,pseudomonas aeruginosa,bacteria/rickettsia,1,1,1,1,1,1,malignant otitis externa,NA,0,0,NA,0,NA,1,NA,NA
pseudomonas alcaligenes,pseudomonas alcaligenes,pseudomonas alcaligenes,bacteria/rickettsia,1,1,1,1,0,1,various infections,environment,0,0,NA,0,NA,0,"Caribbean, Central America, Northern America, Eastern Asia, Southern Asia, Southern Europe","CN,HK,US,IN,BS,MX,IT"
pseudomonas fluorescens,pseudomonas fluorescens,pseudomonas fluorescens,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,"Central America, South America, Northern America, Central Asia, Eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","IR,PK,ES,DK,FR,AR,US,DE,MX,BE,CA,RU,BR,CN,JP,SK,GB,NZ,IN,SJ,IE,KG,AQ,KR,TW,NL,IT,CZ,HU,AT,BY"
pseudomonas luteola,pseudomonas luteola,pseudomonas luteola,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pseudomonas putida,pseudomonas putida,pseudomonas putida,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0,"Northern Africa, Caribbean, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe","IR,BY,ES,NL,FR,AR,DE,MX,IT,EG,VN,KR,BO,CA,US,RU,CN,BR,JP,SK,GD,CH,GB,HR,IN,TW,TN,AT,AQ,HU,GR,CU,PK,BE,SG,UA,MY,UY,VE"
pseudomonas sp.,pseudomonas sp.,pseudomonas sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
pseudomonas stutzeri,pseudomonas stutzeri,pseudomonas stutzeri,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,"Northern Africa, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Melanesia","IR,ES,DE,EG,FJ,BE,RU,US,JP,CN,TH,GB,IN,HR,DZ,GR,IL,PT,CO,IT,TW,HU,DK"
psychrobacter phenylpyruvicus,psychrobacter phenylpyruvicus,psychrobacter phenylpyruvicus,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,,
rahnella aquatilis,rahnella aquatilis,rahnella aquatilis,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
rhizobium sp.,rhizobium sp.,rhizobium sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
rhodococcus equi,rhodococcus equi,rhodococcus equi,bacteria/rickettsia,1,1,1,1,1,1,rhodococcus equi infection,"direct, environment",1,0,NA,0,NA,1,NA,NA
rickettsia amblyommii,rickettsia amblyommii,rickettsia amblyommii,bacteria/rickettsia,1,0,1,1,1,1,new world spotted fever,vector,1,1,"tick (Dermacentor, Amblyomma)",0,NA,0,NA,NA
rickettsia conorii,rickettsia conorii,rickettsia conorii,bacteria/rickettsia,1,1,1,1,1,1,"astrakhan fever, israeli spotted fever",vector,1,1,"tick (rhipicephalus pumilio, rhipicephalus sanguineus)",1,astrakhan fever,1,NA,NA
rickettsia helvetica,rickettsia helvetica,rickettsia helvetica,bacteria/rickettsia,1,0,1,1,1,1,old world spotted fever,vector,1,1,tick (ixodes),0,NA,0,"Western Asia, Eastern Europe, Southern Europe, Western Europe","PL,CH,RO,CY,RS,IT,DE"
rickettsia rickettsii,rickettsia rickettsii,rickettsia rickettsii,bacteria/rickettsia,1,1,1,1,1,1,rocky mountain spotted fever,vector,1,1,"tick (dermacentor, amblyomma)",1,rocky mountain spotted fever,1,"Central America, South America, Northern America, South-eastern Asia","US,MX,PA,CR,CO,BR,TH"
rickettsia slovaca,rickettsia slovaca,rickettsia slovaca,bacteria/rickettsia,1,1,1,1,1,1,spotted fever,vector,1,1,"tick (rhipicephalus sanguineus, hyalomma spp, boophilus spp, dermacentor spp)",0,NA,0,NA,NA
rickettsia sp.,rickettsia sp.,rickettsia sp.,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
ruminococcus gnavus,ruminococcus gnavus,ruminococcus gnavus,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
ruminococcus hansenii,ruminococcus hansenii,ruminococcus hansenii,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
salmonella enterica,salmonella enterica,salmonella enterica,bacteria/rickettsia,1,1,1,1,1,1,salmonellosis,"direct, food, fecal-oral",1,0,NA,0,NA,0,NA,NA
salmonella sp.,salmonella sp.,salmonella sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
serratia liquefaciens,serratia liquefaciens,serratia liquefaciens,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0,"Eastern Asia, South-eastern Asia, Eastern Europe","MY,CN,RU"
serratia marcescens,serratia marcescens,serratia marcescens,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Northern Africa, Western Africa, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Western Europe","TR,IR,IN,PK,NG,JP,GB,RU,PH,BR,US,CN,FR,TN,KR,VE,AT,TW,CA"
serratia sp.,serratia sp.,serratia sp.,bacteria/rickettsia,1,0,1,0,0,0,NA,NA,0,0,NA,0,NA,0,NA,NA
shewanella putrefaciens,shewanella putrefaciens,shewanella putrefaciens,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,0,0,0,NA,0,"Northern America, Eastern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe","HU,CN,GB,PT,IL,CA,TW"
shewanella sp.,shewanella sp.,shewanella sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
shigella boydii,shigella boydii,shigella boydii,bacteria/rickettsia,1,1,1,1,1,1,shigellosis,"fecal-oral, water, food, environment",1,0,NA,0,NA,1,"South America, Northern America, Eastern Asia, Northern Europe, Southern Europe","US,CN,BR,PT,GB"
shigella flexneri,shigella flexneri,shigella flexneri,bacteria/rickettsia,1,1,1,1,1,1,shigellosis,"fecal-oral, water, food, environment",1,0,NA,0,NA,1,"Northern Africa, Western Africa, South America, Northern America, Eastern Asia, Southern Asia, Eastern Europe, Northern Europe, Australia and New Zealand","BD,IN,CN,EG,US,GB,AU,BR,IR,RU,JP,TW,HK,NG,SN"
shigella sonnei,shigella sonnei,shigella sonnei,bacteria/rickettsia,1,1,1,1,1,1,shigellosis,"fecal-oral, water, food, environment",1,0,NA,0,NA,1,"Caribbean, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe","IN,JP,TH,US,GB,MY,HT,CN,IR,IT,TR,RU,HK,TW"
shigella sp.,shigella sp.,shigella sp.,bacteria/rickettsia,1,1,1,1,1,1,shigellosis,"fecal-oral, water, food, environment",1,0,NA,0,NA,1,NA,NA
staphylococcus albus,staphylococcus albus,staphylococcus albus,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
staphylococcus aureus,staphylococcus aureus,staphylococcus aureus,bacteria/rickettsia,1,1,1,1,1,1,multiple,variable,0,0,NA,0,NA,1,NA,NA
staphylococcus auricularis,staphylococcus auricularis,staphylococcus auricularis,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
staphylococcus cohnii,staphylococcus cohnii,staphylococcus cohnii,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0,"Eastern Asia, Southern Asia, Southern Europe, Western Europe","IN,CN,ES,PT,FR"
staphylococcus epidermidis,staphylococcus epidermidis,staphylococcus epidermidis,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Northern Africa, Eastern Africa, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe, Australia and New Zealand","KE,CH,CN,KR,US,AU,GB,JP,DE,MX,PT,NL,DK,HR,IN,KH,AT,IL,IT,BR,ES,PL,TR,TN,RO,MY,SA,TW,CA"
staphylococcus hyicus,staphylococcus hyicus,staphylococcus hyicus,bacteria/rickettsia,1,0,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Eastern Asia, Southern Asia, Northern Europe","CN,IN,DK,SE"
staphylococcus intermedius,staphylococcus intermedius,staphylococcus intermedius,bacteria/rickettsia,1,1,1,1,1,1,animal bite infection,"direct, bite",1,0,NA,0,NA,1,NA,NA
staphylococcus sciuri,staphylococcus sciuri,staphylococcus sciuri,bacteria/rickettsia,1,1,0,0,0,0,NA,NA,0,0,NA,0,NA,0,"Northern Africa, Western Africa, South America, Eastern Asia, Southern Asia, Northern Europe, Southern Europe, Western Europe","BD,CN,KR,GB,DE,NG,IN,FR,AQ,RS,FI,MA,BR,DK"
staphylococcus simulans,staphylococcus simulans,staphylococcus simulans,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
staphylococcus sp.,staphylococcus sp.,staphylococcus sp.,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,NA,NA
staphylococcus warneri,staphylococcus warneri,staphylococcus warneri,bacteria/rickettsia,1,1,1,0,1,0,NA,NA,0,0,NA,0,NA,1,"Northern Africa, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Western Europe","HU,DE,IR,AQ,MA,IL,RO,NO"
staphylococcus xylosus,staphylococcus xylosus,staphylococcus xylosus,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
stenotrophomonas maltophilia,stenotrophomonas maltophilia,stenotrophomonas maltophilia,bacteria/rickettsia,1,1,1,0,0,0,NA,NA,0,0,NA,0,NA,0,"Northern Africa, Caribbean, Central America, South America, Northern America, Eastern Asia, South-eastern Asia, Southern Asia, Western Asia, Eastern Europe, Northern Europe, Southern Europe, Western Europe","BG,IL,CN,MA,DE,GB,MX,MY,CZ,TW,PT,CL,PK,CO,IT,SK,KR,AR,IN,ES,BR,JP,RU,IR,DK,TN,US,HU,BS,GR"
stenotrophomonas sp.,stenotrophomonas sp.,stenotrophomonas sp.,bacteria/rickettsia,0,0,0,0,0,0,NA,NA,0,0,NA,0,NA,0,,
